ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
boards,66,4.424,88.5
jan,329,4.563,91.3
girls,165,4.428,88.6
stuck,8,4.362,87.2
situation,42,4.435,88.7
singapore,16,4.572,91.4
last,333,4.545,90.9
singh,183,4.566,91.3
apply,121,4.509,90.2
non,489,4.607,92.1
taken,119,4.600,92.0
concepts,123,4.505,90.1
taiwan,8,4.350,87.0
accommodate,53,4.463,89.3
mail,26,4.446,88.9
postgraduate,18,4.589,91.8
doubts,258,4.561,91.2
bring,31,4.515,90.3
seventh,2,3.900,78.0
although,150,4.419,88.4
aspects,104,4.653,93.1
amazing,393,4.577,91.5
lots,163,4.567,91.3
helping,47,4.462,89.2
sites,8,4.425,88.5
size,182,4.525,90.5
kumari,20,4.350,87.0
love,128,4.582,91.6
visited,248,4.608,92.2
cabins,2,3.900,78.0
undergraduate,54,4.599,92.0
large,229,4.560,91.2
might,115,4.489,89.8
difficulties,30,4.513,90.3
sushma,4,4.250,85.0
upon,70,4.585,91.7
fans,33,4.533,90.7
pyqs,2,3.900,78.0
summary,6,4.467,89.3
notes,36,4.467,89.3
works,82,4.532,90.6
sincerely,10,4.740,94.8
holders,95,4.529,90.6
respected,10,4.380,87.6
cell,267,4.574,91.5
training,131,4.487,89.7
abhishek,56,4.552,91.0
scholars,48,4.464,89.3
needed,129,4.617,92.3
decided,25,4.456,89.1
basic,179,4.519,90.4
fan,20,4.542,90.8
programs,81,4.499,90.0
bed,16,4.475,89.5
cpa,110,4.502,90.0
set,64,4.535,90.7
blocks,32,4.488,89.8
remaining,68,4.576,91.5
ph,288,4.486,89.7
pursue,191,4.487,89.7
tnp,8,4.475,89.5
drive,77,4.515,90.3
skill,61,4.485,89.7
salary,947,4.578,91.6
light,28,4.329,86.6
confused,12,4.533,90.7
yes,283,4.551,91.0
reviews,82,4.593,91.9
majority,92,4.596,91.9
cs,169,4.543,90.9
opt,170,4.581,91.6
responses,32,4.531,90.6
list,50,4.533,90.7
manual,34,4.512,90.2
proactive,32,4.567,91.3
coders,30,4.580,91.6
insights,80,4.519,90.4
operations,110,4.594,91.9
security,84,4.576,91.5
active,112,4.599,92.0
involved,104,4.566,91.3
