ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
curriculum is,1022,4.554,91.1
best thing,234,4.520,90.4
delicious faculty,8,4.750,95.0
campus the,218,4.572,91.4
we do,42,4.504,90.1
facilities in,191,4.567,91.3
recruiting companies,586,4.548,91.0
in this,467,4.520,90.4
hard work,63,4.613,92.3
our college,792,4.562,91.2
helpful qualified,89,4.510,90.2
good because,17,4.494,89.9
placements every,57,4.500,90.0
are difficult,133,4.579,91.6
course department,18,4.675,93.5
course because,373,4.565,91.3
percentage other,15,4.440,88.8
knowledgeable on,2,5.000,100.0
engineering and,257,4.536,90.7
are good,658,4.553,91.1
jul read,216,4.550,91.0
give time,6,4.833,96.7
fi labs,93,4.633,92.7
get a,319,4.522,90.4
and materials,80,4.533,90.7
is crores,73,4.623,92.5
and it,590,4.572,91.4
get internships,191,4.518,90.4
the quality,522,4.540,90.8
do hard,10,4.620,92.4
placements the,664,4.541,90.8
college are,344,4.554,91.1
spend time,8,4.750,95.0
good the,465,4.553,91.1
in metallurgical,74,4.541,90.8
around of,342,4.604,92.1
and they,508,4.552,91.0
extra skills,2,5.000,100.0
work we,6,4.633,92.7
qualified and,667,4.547,90.9
course curriculum,1044,4.575,91.5
on jul,216,4.550,91.0
if we,119,4.550,91.0
annum and,180,4.547,90.9
food in,204,4.558,91.2
good placements,340,4.563,91.3
course infrastructure,92,4.470,89.4
is it,50,4.532,90.6
faculty there,83,4.551,91.0
in our,825,4.560,91.2
labs classrooms,123,4.615,92.3
is easy,63,4.518,90.4
course are,154,4.418,88.4
because of,333,4.554,91.1
money it,323,4.564,91.3
useful for,26,4.477,89.5
of facilities,85,4.474,89.5
we can,277,4.496,89.9
thing about,163,4.512,90.2
metallurgical engineering,59,4.542,90.8
relevant and,311,4.560,91.2
very clean,63,4.471,89.4
s sai,10,4.420,88.4
for placements,430,4.588,91.8
chose this,340,4.482,89.6
so that,175,4.611,92.2
time for,51,4.541,90.8
can give,6,4.700,94.0
our hostel,79,4.637,92.7
year placements,28,4.520,90.4
quality of,610,4.553,91.1
apple flipkart,4,4.500,90.0
are very,1216,4.533,90.7
good to,55,4.566,91.3
our course,428,4.573,91.5
clean we,2,5.000,100.0
amazon apple,6,4.767,95.3
