ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
is easy and,8,4.875,97.5
course infrastructure facilities,8,4.675,93.5
there and they,6,4.900,98.0
course curriculum is,759,4.578,91.6
my course is,88,4.399,88.0
on jul read,216,4.550,91.0
placements are there,2,5.000,100.0
helpful qualified and,85,4.505,90.1
package is crores,33,4.624,92.5
my campus the,4,4.550,91.0
facilities in our,26,4.504,90.1
is crores per,44,4.605,92.1
lpa top recruiting,187,4.573,91.5
do hard work,10,4.620,92.4
our hostel is,10,4.780,95.6
qualified and knowledgeable,309,4.522,90.4
hostel is good,34,4.612,92.2
classrooms and the,34,4.459,89.2
studies abroad the,2,4.700,94.0
is served there,2,4.700,94.0
for future challenges,2,4.700,94.0
the rest have,6,4.233,84.7
intended to prepare,2,4.700,94.0
academic infrastructure is,12,4.458,89.2
there is an,66,4.577,91.5
exams the semester,2,4.700,94.0
about the dream,2,4.700,94.0
time passed and,2,4.700,94.0
in exams is,6,4.367,87.3
exam to write,2,4.700,94.0
passed and the,2,4.700,94.0
score in exams,2,4.700,94.0
at iitb is,5,4.720,94.4
food is adjustable,2,4.700,94.0
bhogalapalli sandesh b,2,4.700,94.0
batch in cse,2,4.700,94.0
you have to,156,4.469,89.4
are well versed,12,4.442,88.8
library is big,14,4.514,90.3
is that hostels,2,4.700,94.0
have been placed,24,4.633,92.7
are tough this,2,4.700,94.0
companies visit iitb,2,4.700,94.0
very famous quant,2,4.700,94.0
faculty at iitb,4,4.650,93.0
the average score,2,4.700,94.0
throughout most of,2,4.700,94.0
marks other i,10,4.620,92.4
this helpful b,8,4.675,93.5
is big and,14,4.557,91.1
only problem with,2,4.700,94.0
and the number,10,4.415,88.3
famous quant companies,2,4.700,94.0
designed for a,6,4.400,88.0
in their research,18,4.511,90.2
gone for higher,2,4.700,94.0
individuals who hold,2,4.700,94.0
with being at,2,4.700,94.0
is an entrance,2,4.700,94.0
of the campus,78,4.616,92.3
of the total,34,4.529,90.6
resources canteens are,2,4.700,94.0
which is the,61,4.516,90.3
lpa the average,166,4.535,90.7
back in the,2,4.700,94.0
students increased rooms,2,4.700,94.0
very intellectual individuals,2,4.700,94.0
us for future,2,4.700,94.0
at iitb they,2,4.700,94.0
affordable and tasty,4,4.400,88.0
many resources canteens,2,4.700,94.0
single student but,2,4.700,94.0
abroad the highest,5,4.880,97.6
sandesh b tech,2,4.700,94.0
in the s,12,4.667,93.3
in what they,2,4.700,94.0
jee advanced exam,12,4.650,93.0
and s rooms,2,4.700,94.0
became shared which,2,4.700,94.0
exam you have,2,4.700,94.0
hostels were built,6,4.833,96.7
the semester exams,215,4.494,89.9
rooms were originally,2,4.700,94.0
around lpa very,2,4.700,94.0
visit iitb infrastructure,2,4.700,94.0
average score in,2,4.700,94.0
served there faculty,2,4.700,94.0
intellectual individuals who,2,4.700,94.0
research i feel,2,4.700,94.0
college iit bombay,4,4.700,94.0
